riversare	[10086015]
decorare	[9123842.0, 9626595.0, 9691298, 9026925.0, 9528894.0, 9509459.0, 10086979.0, 10280107]
sottoporre	[9446693.0, 9020670.0, 10320306.0, 10377226]
consiliare	[]
alunno	[9885164, 9351917, 9497807]
discendere	[9747229, 9267863, 10242771]
pastore	[9107110.0, 9939531, 10350058.0, 9299721.0, 10246751, 9893542, 9371679, 10246642.0, 9190415.0, 9797596.0, 9509287, 10246791, 9298819.0, 9233060.0, 10216838.0, 9309125, 10216841.0, 9039156.0, 9586681.0, 10246568, 9749717, 9298958.0, 10147566.0, 9533464, 9173914.0, 10246563, 9123454.0, 9191470.0, 9191942, 9864884, 9191313.0, 9298599, 9266999, 9309106.0, 9506663, 10080222, 9660856, 10246492, 9072840, 10246486.0, 9232894.0, 9749826.0, 9762870.0, 9742916.0, 9553648.0, 9309135.0, 9864250, 9578378.0, 9749685, 10066143, 10021795.0, 10246942, 9749727, 9411146, 10246456, 10246505.0, 9553676]
salire	[9469926.0, 9969096, 9879394, 9277612, 9812440.0, 9469323.0, 9354848, 9501490, 9181263.0, 9672649.0, 9610584, 9375544, 9698548.0, 9101626, 9905232, 10120716, 9276623, 9342927.0, 9427723.0, 9478009.0, 9985712, 9119386.0, 9832430.0, 9583188.0, 10107606.0, 9930384, 9304560.0, 9180803, 9805448, 9866158, 10040332, 10130068.0, 9022211, 9967650, 9704539, 9860091.0, 10466569.0, 9105426, 10250968, 9578439, 9836825.0, 9531828, 9411760, 9951707.0, 9422387.0, 9565518.0, 9310391, 10419034, 10251512.0, 9969799, 9152353, 10413126.0, 9258031, 10201345, 9608111, 9534893.0, 9732536.0, 9526233.0, 9893063, 9905566.0, 9903604, 9202974.0, 9263952, 9941179, 9863785, 9300017.0, 10317981.0, 9878255.0, 9994220.0, 9426176, 9385230, 10037882.0, 9033481, 9702802.0, 9812481, 10319855.0, 9536992, 9613091, 9835867, 10439711.0, 9702912, 10364727, 10488491.0, 10129973.0, 9727599, 9442965, 9894766, 9865274, 9601398, 9335726, 9156545.0, 9245798, 10185163.0, 10133015, 9060938, 10392852, 9012339.0, 9376177, 9265434.0, 9918688.0, 9243685, 10164181, 9027478, 9155831, 9220571, 9893115, 10384372.0, 9325657, 9133203.0, 9069711.0, 10283932, 10313218.0, 9747067, 9060935, 9647593, 10369415.0, 9904134.0, 9352940, 9860628.0, 10287779.0, 10116055.0, 9034879, 10095925.0, 10163623, 10461102, 10053894, 9033498, 9930406.0, 9969099, 9056298, 9747063, 10014212, 9144873, 9289022.0, 9691655, 9096799, 9932138, 10378298.0, 9622584, 9607364.0, 9242653, 10430985.0, 9296559, 9061042, 9054413, 10390435, 9818916, 9068110, 10408508, 10164076.0, 9284422, 9081596, 10496735, 10486315, 9507958, 9622579, 10026370.0, 9834677.0, 9423064.0, 9360020.0, 10368403.0, 9803740.0, 9904912, 10133232.0, 9902944.0, 9381880, 9712371, 9122073.0, 9885383, 9542541.0, 9479135, 9779179, 9627673, 9423746, 9921605, 9054244.0, 10016173.0, 9499471, 9227345, 9782004, 9836179, 9122868.0, 10474970, 9152585.0, 10052061, 10201131.0, 10320029.0, 9283169.0, 10113990.0, 9844318, 9475371, 9316243.0, 9419883, 9208595, 9069781, 9871388, 9821132, 9369765, 9539948, 10276183, 9885391, 9248278, 9082088, 9208252, 9181314, 9151669, 10442756.0, 9208699.0, 9962921.0, 10037951, 9951329.0, 9847060, 9572243, 9112207.0, 9735143, 10128045.0, 9355780, 9844310, 9195087.0, 10022048, 9342945]
inventore	[10033319.0, 10033032.0, 10032612.0, 10171119, 9557596.0, 9889478, 9813881.0, 9405391, 10188590]
grammaticale	[9326399]
specificatamente	[9607756, 9448860.0]
candidato	[10362798, 9975812, 9446269.0, 9432056.0, 9432559, 9432542.0, 10059667, 9446698.0, 9432128, 9432059.0, 9463647, 10067735, 10230335, 10067736.0, 10138040, 9432117.0, 10324051, 9432518, 9432149.0, 9168738, 9313923.0, 9432018.0, 9432226.0, 9813291, 9448080, 9432501, 10207049, 9446887, 10065539, 9432053, 9446452.0, 10462724.0, 10461607.0, 9432170.0, 9107214.0, 10135256.0, 9960619.0, 9432111]
pubblicizzare	[10346589, 9288021.0, 10120446.0]
impedire	[9327949.0, 9641682, 9773264.0, 10059627, 9612599, 9613914, 9485054.0, 9656903, 10466096.0, 9654973.0, 10175146.0, 9706193.0, 10032379.0, 9768306.0, 9483696, 9512865.0, 10142566, 9241225.0, 10084528, 9991512, 9708387.0, 9413444, 9487318, 10100865, 10433055.0, 9498870, 10194169.0, 9565350, 9867999, 10100854.0, 9287194, 10194370.0, 9671411, 9755512, 9300017.0, 10363857.0, 9962838.0, 9363978, 9432115.0, 10016777, 9829009.0, 9436065, 9458364, 9653450, 10358888.0, 9508660, 9831942, 9611182, 10373066.0, 9550244, 9233259, 9698343, 10318723.0, 9267071, 9181826, 9397861, 9543992.0, 9770951, 10318613, 9144116, 9247778, 9098028.0, 10158037, 9814980, 10116519, 9747719, 9565924, 9353076, 10439389.0, 9554834.0, 9375409.0, 9171646, 9171422.0, 10123920, 10259871.0, 9066389.0, 10387229, 9175038]
concittadino	[10167479.0, 9133391, 9986391.0, 9986385.0, 9023759.0]
ministro	[10205744.0, 9570581.0, 9829417.0, 9980489, 10081449.0, 9342126, 9768431, 10092151.0, 9767545, 10257894.0, 9044511, 9365962.0, 9056684, 10351218, 9889411, 9342141, 9641707, 9393437, 9641588, 10092143, 10404156.0, 9273976.0, 10118162.0, 9366723.0, 9717571.0, 10092198, 9273981.0, 9649004.0, 9672100, 9393290, 10351220, 9355979, 10300855, 9544216.0, 10092126.0, 9823259.0, 9808216, 9673396, 9680539.0, 9329249, 9539507.0, 10028264, 9206213.0, 9813968, 9609871.0, 10335396, 9700660.0, 9393505, 9393507, 9814034, 9701020.0, 9464186.0, 10323180, 9838303, 9437329, 9464203.0, 9613081.0, 9940554.0, 9393560, 9601257, 9567776, 9393631, 9649001, 9685296, 9543834, 9821844, 9767887.0, 9796334, 9557537.0, 10391609.0, 9856934.0, 9641538, 9700875, 9641614, 9994216.0, 10069511, 9680569, 9641656, 9467080, 9700679.0, 9607610, 9245841, 9467051, 9613058, 9701238, 9641498, 9613205, 9466940, 9446987.0, 9110032.0, 9567821, 9320834, 10045630, 10226930.0, 10351240, 9467044, 9568059, 9543627, 9510237, 9355992, 9544189, 9613186, 9366713, 9567796, 9570638, 9466786, 9613209, 9988039, 9044660.0, 9393541.0, 9567705.0, 10143585.0, 9557311.0, 9467121.0, 9202429.0, 9354122.0, 9044557, 10092773.0, 9342629, 9641445.0, 10345479.0, 10102577.0, 10227053.0, 9393506, 10081484, 9613153, 9393466.0, 9044531, 10092111.0, 9567866.0, 9567789.0, 10351348, 10340196, 9649880, 10092814, 9446983, 9901869, 9821760.0, 9676412.0, 9543492, 9613202, 9746275, 10092815.0, 9539724, 9746287, 10278691, 9446975]
totale	[9944187.0, 9674654.0, 9476447.0, 10033187, 10061186, 9610543.0, 10017717.0, 9733285.0, 9917278.0, 9985283.0, 9888943.0, 9518311.0, 10059674, 9538785.0, 10061191.0, 10085792, 9695187, 10385804, 9261025, 10440730.0, 10045765.0, 9120012, 10354468.0, 9426031, 10060793, 9899654.0, 10017729, 9376969.0, 9775344.0, 9570917.0, 10250696.0, 9982182.0, 9526436, 10060798, 9366898.0, 9931584.0, 9112631.0, 10061469.0, 9904161, 9143491, 9196849.0, 10289992.0, 9695793.0, 9086056.0, 9413834.0, 9795461, 10387445, 9138261, 9468213.0, 9151341.0, 9697533.0, 10044590.0, 10347438.0, 9100725.0, 9806691, 10105199.0, 10230545.0, 9285835.0, 9605516, 9636724.0, 9977463.0, 9249579.0, 9249581.0, 9609332, 9622893, 9131839.0, 9727776, 9186901.0, 10061443, 9196869.0, 9613331, 9292673.0, 10312237.0, 9297618.0, 10035054.0, 9271913, 9586390, 10495224, 9310738.0, 10061493.0, 9609639, 9986929.0, 9662060, 9435249.0, 10261187, 9913532, 9750346, 9907220.0, 10456289, 10051090, 10143110, 9148547, 9583882, 10075599.0, 10099247.0, 10188513.0, 9958258.0, 9594421.0, 9006348.0, 9962918.0, 10442952.0, 9503464.0, 9636737.0, 9672740.0, 9657499.0, 9706730.0, 10117918, 10338458.0, 9308329.0, 10135197.0, 10369871.0, 10369895.0, 10239785.0, 10418806, 10420459.0, 9866367, 10073117.0, 10271171.0, 9527824.0, 9398330.0, 9539248]
arrostito	[9678204, 9496398]
smarrito	[9177246.0, 9003537, 9811470, 9170246, 10327153, 10225098.0, 9403894, 9520654.0, 9082614, 10140295.0, 9637070.0, 9876730, 9147288.0, 9331973, 9873503, 9332124, 9485390.0, 9389053, 9390193.0, 9188999.0, 10406553.0, 9390191.0, 9156538, 10004958.0, 9992377, 9648204.0]
esigente	[9497063.0, 10386392, 10386394, 9847889, 10412552, 9143605.0, 9981132, 9400876.0, 9644737, 10245810, 9130305.0, 10245809, 9473309, 9854659, 9210601.0, 9039381, 9809489, 10220944.0]
apprendere	[9716479.0, 10241914.0, 10101092.0, 9218730, 9282010, 9310262, 10246116, 9807953, 10307891, 10009666.0]
ostacolare	[9705446.0, 9732086, 9702782, 9335005, 9156999.0]
consumo	[10115321, 9181028.0, 9799259.0, 9706116.0, 9667195.0, 9799263.0, 10173954.0, 9323394.0, 10287002.0, 9706143.0]
dimagrante	[9652685, 9794992]
considerevole	[9858134.0, 9692405.0, 9598391, 9975626.0, 9148802.0, 9821694, 9365127, 9760871]
copia	[10060823.0, 10033523.0, 9890451, 9432320.0, 10060824, 10397705, 10374743, 10134239, 10064753.0, 9554694.0, 9351108, 9037118.0, 10262478.0, 9137867.0, 9544049.0, 9224554.0, 10211564, 10172378.0, 9563834.0, 10323880.0, 9876571, 9759709, 9900401, 10172050, 9290552.0, 10172953, 10375521.0, 9412420.0, 9352285.0, 9907231.0, 9613259, 10171672, 10111184, 9238712, 9306266.0, 10447812, 9015983, 10204342.0, 9711063.0, 9426765, 10221082, 10410772, 9904562, 10061058.0, 9968438, 10173027, 10235620.0, 9138116, 9666910, 9449536, 9257537, 9987784.0, 9137862.0, 9736833, 9139516, 9138114.0, 10172055, 10409160.0, 9566130, 9950478, 9238702, 10286071, 10172918, 9305555, 10276781, 10171700, 9652110, 10206326, 9378816, 10391349, 10130483, 10172015.0, 10323666.0, 9812848.0, 10161989.0, 9218112.0, 9368037.0, 9557101.0, 9093437.0, 9732803.0, 9889530.0, 9636002.0, 9292250.0, 9636004, 9653899.0, 9730684, 9449506, 9379038.0, 10172381, 9100116.0, 10171706, 10171793, 9233291, 9875033, 10171981, 9501228, 9586345, 9485343.0, 9358576, 9027739, 9378821, 9225499.0, 9138119, 10172049, 10171930, 10172001]
adottare	[9972513, 10287540, 10467758, 9094840, 10467730, 9540626, 9559115.0, 10399249]
spagnolo	[10011676, 10301875.0, 9089029.0, 9638113.0, 9590135.0, 9138499.0, 9889460.0, 9638171, 10011682.0, 9024306.0, 9319398, 9914731, 9578470, 9089933, 9847133, 9908609, 10301949.0, 9516710.0, 9847109.0, 10352679, 9579012.0, 9578966.0, 10351732.0, 9502965.0, 9696941, 10331999.0, 10108355.0, 9590716.0, 10032257, 9502173.0, 9847111.0, 10493175, 10351909.0, 9024312, 9318921, 9516706.0, 9024331, 9502906.0, 10006533, 9966107.0, 9966208, 9457998, 9346716, 9918382, 9502372, 9023856, 9355281, 9578469.0, 9578573.0, 9178332, 9846324, 9145448, 10290238.0, 10308399.0, 9033099.0, 9117664.0, 10088674.0, 10290744.0, 10486107.0, 9867822.0, 9024323.0, 9020774, 10165010.0, 9089275.0, 9660301, 10307937, 9024315.0, 9859028.0, 9963946.0, 9024318.0, 9578505.0, 9578928.0, 9024389, 9024374, 9594919, 10351870, 9625181.0, 10120923, 10326439, 9883097, 9847132.0]
tavola	[9489967.0, 10032640.0, 9169106, 9638998, 9343570, 10010985, 9209229, 10010915, 9815610, 9224572, 9815552, 10220391, 9136352, 9869107.0, 9469588, 10423304, 9299756, 9114838, 9334965, 9821724, 9133458, 9163235, 9948517, 9674967.0, 9815555.0, 10113431.0, 9511019, 9045560, 9704855, 9328227.0, 9141189.0, 9582181.0, 9235407.0, 10014130.0, 10137803, 10105354.0, 9588546.0, 9160360.0, 9716590, 10454424, 10310386.0, 9250186, 9532103, 9973119, 9228194, 9218856, 10149041, 9496287.0, 9684774.0, 9164291, 9131310, 10453455, 10353134.0, 9437604, 9746306, 10114169.0, 9290728.0, 9606240.0, 9740204, 9589576, 9243335, 10453373, 9340369, 10360687.0, 9371488, 9105164, 9866686, 9138446, 9833356.0, 10108473, 9003160, 10144364, 9746166, 9299612, 9588361, 9385322, 9328699, 9535738, 9290526, 10149632, 9973117.0, 10409493, 9636748.0, 10491731, 9361848.0, 9150862.0, 10133683, 9122186, 9044257, 9509466, 10012978, 10449880, 9945666, 9033390.0, 10238618, 9122156, 9583448, 9126891, 9539973, 9583539.0, 9912884, 10010969, 10010970, 9513922.0, 9137234, 9973118, 9973049, 9122230, 9670036, 10453517.0, 9317632, 9580288.0, 10087883.0, 9100300.0, 9841941.0, 9745817, 10370391, 9973123.0, 9983153.0, 9973132, 9593547.0, 9832235.0, 9136634, 9972491, 9046954.0, 10247926.0, 9059309.0, 9608737, 9758671.0, 9996279, 9630660, 9752022.0, 9290718.0, 10012904.0, 9428559, 9794410.0, 9361689.0, 9973016.0, 9122141.0, 9334931.0, 9619627.0, 9045060, 9069472, 10365110, 10419808, 9841930, 9503609, 10445895, 9063722.0, 9566975, 10255101.0, 9043352, 9791874, 10070183, 10451671.0, 9965116.0]
prevenire	[10061562.0, 9306621.0, 9852546.0, 9513068, 9892306, 10052913, 9750356, 9707412]
coordinare	[10411591.0, 9599617.0, 9723397, 9142791.0]
concorso	[9742293.0, 10114405.0, 9433698.0, 10220787.0, 9776849.0, 10485520.0, 9536032, 9248513.0, 9121566, 9409295, 9357600, 9471867, 9905971, 9518161.0, 9038440.0, 9774450.0, 10401791, 10197505, 9735875]
ascoltatore	[]
imbianchino	[9430049.0, 9458709.0, 9620208.0, 9346600.0, 9937460]
orgoglio	[9003980.0, 9168822, 10434413.0, 9941848.0, 9970363.0, 10058378.0, 10285863.0, 9433001.0, 9265721.0, 10073731, 10100399.0, 9438423, 9196969, 10216708, 10303757.0, 10010264, 10368045.0, 9082418.0, 9415609, 9478254.0, 9921070.0, 9273924.0, 9833470.0, 9264513.0, 9601137.0, 10299224, 9073629, 10276941.0, 9466913, 9717433.0, 9311616, 9574084, 9507129, 9229442, 10074049, 9660369, 10441803, 9030371, 9130920, 10301887.0, 10217091, 10247115, 9078495, 10357016.0, 9558775, 9171671.0, 9588817, 10303733, 10169402, 9510160.0, 9992200, 9324516, 9452569.0, 9437043.0, 9264762.0, 9768246.0, 9288918, 9482613, 9646514.0, 10439240.0, 9936177.0, 9305932.0, 10383369, 10386626, 10133068, 9116525, 9187460, 9466197.0, 9448493, 9191229, 10466635]
specialistico	[]
agricoltore	[9162501.0, 10460025.0, 9099178.0, 10292169, 9346040.0, 9031846]
violino	[9903898, 9903907, 9965163, 9342347, 9371965, 9526600, 9129663, 9906362.0, 9971780, 10104450, 9133740, 10051645, 9583134, 9903899.0, 9263432.0, 9857241.0, 9075227.0, 9342355, 9706982, 10296182, 9079076.0, 9903927.0, 9497498.0, 10295494, 10012246, 9310243.0, 10296183, 9981697, 9480532.0, 10012133, 10012008, 10044501, 10295770, 9670716, 9483000.0, 10126303.0, 9872435.0, 9338401.0, 9857215.0, 9689572.0, 10104451.0, 9087424.0, 10329246.0, 9971790]
evolutivo	[10432572.0, 10060843, 9285927.0, 10057932.0, 10056765.0, 9598543.0, 10319920]
istituzione	[9833053, 9146400, 9764812.0, 10490667, 9612029.0, 9146352.0, 10395548]
arabo	[9293793, 9796643.0, 10041448, 9260934, 9539003.0, 9294032, 9638042.0, 10019420.0, 9858561.0, 10019436, 9441983, 9442288, 9442273, 9441876, 10098292.0, 9024633, 9779826, 9293746]
inaugurare	[9707966.0, 9206847, 9206467.0, 9875058, 9569013, 9070330, 10330681.0, 9601950, 10330693.0]
coppa	[10200794.0, 10432643.0, 9146242, 9335564.0, 10130692.0, 9480382, 9765175.0, 9994437.0, 10079049, 10352041, 9947116.0, 10079085, 10352015, 9576721, 9679086, 9751272.0, 9480408.0, 10251851.0, 10352051.0, 9163802.0, 9226513, 10049530.0, 9844555]
posizione	[10199073.0, 10059159, 9260570.0, 10199171.0, 10057169.0, 9885679, 10033523.0, 10032989.0, 10060315.0, 9169553, 10059913.0, 9831694.0, 9530813.0, 10175146.0, 9535829.0, 10059207, 9421869, 9278823, 10061602.0, 10057374, 10297644, 9762310, 10056376.0, 10174087.0, 9186445.0, 10111781, 9312720, 10140006.0, 9156779.0, 9049019, 9342844.0, 9218459, 9562363.0, 9743452, 9092985, 9149922.0, 10433928, 9755170, 9306011.0, 9695233.0, 10174051.0, 10131875, 9054582, 9531059, 10059163, 9906219, 9031157, 9506471, 10230350, 10230353, 10400325, 10325872.0, 10159925, 10353739.0, 9104788, 10049485, 9172958, 9522200.0, 9465714.0, 10175422.0, 10442698.0, 9260582, 9188297.0, 10048582.0, 9026575.0, 9030451.0, 10069805, 10373795.0, 9960872, 10089053, 10315836.0, 9858115, 9969437.0, 10049491.0, 10059064.0, 9819165.0, 9275840, 10286077.0, 9218364.0, 9754470.0, 10443072, 9394843.0, 9525152.0, 10111478.0, 9098749, 9643855, 10148890.0, 9398174.0, 10442659, 9523666.0, 10154928, 9695232.0, 9093180, 9930395, 9488296, 10187483.0, 9507053.0, 10439875, 9058654, 9831152, 9958321.0, 9671641, 10086114, 9366392, 9069515, 9414370.0, 9969609.0, 9483671.0, 10116948, 10123435.0, 9505405, 9522565.0, 9823437, 9457928, 9127388.0, 10104709, 9691056.0, 9068250, 9691042.0, 9342762, 9614671, 10442692.0, 10039787, 9030510.0, 9518018, 9700660, 9673597.0, 10040523.0, 10194756.0, 9438798.0, 9506026, 9292650.0, 9495910.0, 10375797.0, 9706049.0, 9319347, 10334264.0, 9042979, 9708442.0, 9398284, 10049483.0, 9302510, 10351343, 9450667, 10359276, 9755539, 9223128, 9696023, 10434892, 9218431, 9658019, 9866748, 9477653, 10490128, 9202699, 9841286, 9492595, 9043184.0, 9636842, 9030930.0, 10376533, 9743595.0, 10111587, 9055661, 9458332.0, 9750878, 9398199, 9988336, 9873920, 10322742, 9383528, 10105393, 9899584.0, 9896729.0, 9838302.0, 9295724.0, 10198092, 9420918, 9077737.0, 10007430, 9741395, 9921829.0, 9835368, 9626130.0, 9023219.0, 10360683, 9189415.0, 10032002, 10443756.0, 9512859.0, 9601718, 9030404, 10361286, 9917340, 10430602, 9465926.0, 10437126, 9512823.0, 10377561, 9260569, 10059923, 10434128, 9649810, 9169523, 10115312.0, 9961130, 9648998, 10441572.0, 9797484, 10434558, 9477652, 10393323.0, 9989168.0, 9972997.0, 9588490, 9730620, 10392602, 9434208, 10081844, 9611663, 9018677, 9218260, 10351332, 9175141.0, 9731971.0, 10123420.0, 10149166, 9222938, 10143624, 9329630, 10438552, 10490662, 10400523, 9399715, 9025261, 9487922, 10120753, 9651210, 10338689.0, 10367457, 9873908, 9595292, 9969412.0, 9900700.0, 10321015, 10203130, 10310412, 9327581, 10370937, 9697419, 9190060, 10488217, 10198132, 9294766, 9488739, 9557427, 10440140, 10261148, 10216936, 9460644, 9610276, 9282439, 9463355, 9556972, 9553184, 10237895, 9613116.0, 9601895.0, 9142581.0, 9839263.0, 9487935, 9611133.0, 10438469.0, 9970455.0, 10006042.0, 9726163.0, 9896726.0, 9690402.0, 9482419.0, 10426206.0, 10438540.0, 9601723.0, 9111026.0, 9834748, 10376172, 9005217.0, 9408234.0, 9961133, 9023125.0, 9067398, 9463265.0, 9690348, 9481730.0, 10083625.0, 10083634.0, 9642991.0, 10069547.0, 9481909, 10089600.0, 9306270.0, 10320498.0, 9994840.0, 9488031, 9920039.0, 10467086, 9260778, 9617205, 9041365.0, 10430798.0, 10436190.0, 9470925, 9459177.0, 9384663.0, 9077671, 9292061, 9911008.0, 9988802, 9562765, 10278830, 9505652.0, 9994948, 9023212.0, 9223225.0, 9910573.0, 10323130.0, 9647785, 9410628, 10373397, 9256209, 9975294, 9112975.0, 9260573, 9188310, 10065888, 10031309.0, 9169230, 9882651, 9992882, 9535514, 9679613.0, 9367561, 9785517.0, 9771325.0, 9464607, 10235698, 9464746, 10279105.0, 9971152, 9506028.0, 9115366.0, 10296852.0, 10121420.0, 9304118.0, 10442041.0, 9522016.0, 10378174, 9897751, 10445017.0, 9877170, 9628375.0, 9083940, 9023128.0, 10317976.0, 10289923.0, 9524752, 9817177, 10492360, 9560418.0, 9057015.0, 10216019, 9290727.0, 10192585, 9571194, 10479113, 9069383, 9202701, 9323723.0, 9014841, 10019776, 9430628, 9149934, 9968036, 10249044, 10069976, 9713490, 9110937, 9131216]
esploratore	[9171441.0, 9839765.0, 9090141, 9339675, 9155737, 9586532, 10269672.0]
carboidrato	[]
iniziativa	[9092977.0, 9887452.0, 9364754.0, 10144066, 9355417, 9650811, 9507224.0, 10038788, 9474896.0, 9939752, 9028443, 9371503, 9355416.0, 9936149.0, 9936270.0]
fisico	[9915616.0, 9512222.0, 9553083, 9915614, 10061057.0, 9396738.0, 9790926.0, 10015890.0, 9859853.0, 10014442.0, 9944840, 10439060, 10264304.0, 9523514.0, 9591318, 9512767, 9184053.0, 9655960.0, 9183753, 10300700.0, 10422217, 9381081.0, 10056966, 9505957, 10439009.0, 9076861.0, 9425906, 9125912, 9459485.0, 9995182, 10420913.0, 9953656, 10066714.0, 10060987.0, 10376775, 9777912.0, 9401804.0, 10373533.0, 9866998.0, 9951808, 10154555, 9673129, 9306323, 9844235, 9657944.0, 9827515, 10499276, 9285541, 9428657, 9804944, 10382346, 9915196, 9125251, 10188011, 9423702, 10376086.0, 9092846.0, 9454550, 9240820, 10403309, 10320537.0, 9662755.0, 9088019.0, 9315815.0, 9656237.0, 9673881.0, 10144395.0, 9612651.0, 10370694, 9428739.0, 9483733, 10441357, 10134708.0, 10030516, 9536516]
atteggiamento	[10111317, 10154658, 10375779.0, 9073800, 9887568, 9993311.0, 10369117, 9505886.0, 10466461.0, 9237600.0, 10354847.0, 9150452.0, 9759555, 9684712, 9063995.0, 9510544.0, 10376065, 9313935, 9200659, 10359551.0, 10111241, 9710077, 10001204, 10256073, 10330123, 10262661.0, 10045050.0, 10143539, 10025164, 10398383, 9684953, 10193128, 10376265.0, 10437595.0, 10359133.0, 9238005, 9990251, 9824225.0, 10122753.0, 9012896, 9894033.0, 9476914, 9761051, 9786120, 9583605, 10277948, 9002094]
borsetta	[9243788.0, 9475477.0, 9052840, 9020414, 9456089.0, 10254835, 9052527, 9243800.0, 9752799, 9277840, 10383418, 9885580, 9052523, 9493865.0, 9140612, 10130759, 9410839, 9020359.0, 9243763, 10341476, 10495759, 9020470, 9270594, 9148618, 9434776.0, 10254803.0, 9956700.0, 9924464, 10067164, 9243791, 9840608, 9915282, 9020457, 9743805.0, 10423284, 9751743, 10288014, 9956702]
mediocre	[9378739, 10285677.0, 10060021.0, 9288004.0, 9136737.0, 9770537, 9297138, 10454219.0, 10065972, 9000175.0, 10225465.0, 9329006]
imperatore	[9601125.0, 9469630.0, 9867570, 10109585.0, 9503659.0, 10238943, 9393639, 10056605.0, 10239188, 9251072.0, 10275349.0, 9250808.0, 9465785.0, 10109592.0, 9576136, 10109591.0, 9465089.0, 9465087, 10109650, 10036314.0, 9393327.0, 9107252, 9537391]
magnifico	[9293343, 10058654.0, 9816935.0, 9312702.0, 9433182.0, 10474989, 9857245.0, 9020300, 9319600.0, 9198660, 10187263, 9655986, 10358985.0, 9274701, 10013267, 9290232, 9099560, 9099490, 9333995.0, 9287480, 9182046, 10295190, 9745826, 9529495, 9486063.0, 10014390, 9048464.0, 9816887, 10328840, 9275444, 10304000.0, 9402342.0, 10312831.0, 10311535, 9159245.0, 9617661, 10039359, 9469983.0, 10072082, 9818284.0, 10198144, 9095695, 9162640.0, 9247641, 9573985.0, 9306284, 9744606, 10448308, 9201159.0, 9159843.0, 9038664.0, 9562593.0, 9033346.0, 10308660.0, 9312657.0, 9778278.0, 9074628.0, 9689265.0, 9697675.0, 10437015.0, 9272565.0, 9367913, 10392766.0, 9389944, 9058482, 10323576.0, 9682309, 9889195, 9085016.0, 9381790.0, 9063956.0, 9775845.0, 10467585, 9138728, 9973785, 10442142.0, 9815916, 10360450, 9079745, 9529400]
manifestazione	[9000781, 10344988.0, 9499895, 9407465.0, 9398197, 9672512, 9672537.0, 9672756.0, 9397542.0, 10074892, 9671630, 9155093.0, 9397611, 10431774.0, 9910093, 9397563, 10018256.0, 10005480, 9708530, 9397675.0, 9679597.0, 9672407.0, 9472508, 10180966]
statua	[9408641.0, 9021959.0, 10111489, 9644734, 10206107.0, 9464800.0, 9767116.0, 9767117.0, 9767118.0, 9429879, 9491425, 9617372.0, 9999821, 10074080.0, 9644729.0, 10401420, 10180443, 9172054, 9454944.0, 9289348.0, 10145555, 10201121, 10180439, 10180506, 9472262, 9113212, 9510176.0, 10461102, 9902541.0, 9361347.0, 9888759.0, 9756654, 10165632, 9408445, 9429772.0, 9655405, 9310407.0, 9209488.0, 9898035.0, 10358134.0, 10461473, 9435423.0, 9689839.0, 10206105, 9819391.0, 9617443.0, 9362090, 9902540.0, 9595197, 9172304, 9554809.0, 10074061, 9644850.0, 9491860, 9408498]
disavventura	[10009320]
maturità	[9405293.0, 10134365.0, 10443742.0, 10051554.0, 9154568, 10386530.0, 10400285.0, 10186722.0, 9407795, 9456450, 10061595, 9407545, 9650910.0, 9407559]
prediligere	[]
inquinamento	[10163982, 9718659]
lupo	[9341141.0, 10066851.0, 9892340, 9664200.0, 10461026, 9273428, 9080251.0, 9273411, 9319820, 9468584, 9564815, 9738237.0, 9739279.0, 9739280.0, 10066506.0, 10013437.0, 9599439.0, 10253337.0, 10144668, 9431048, 9428296.0, 9024987, 9689446, 9267815, 9313018, 9863745.0, 9171395, 9572789, 10123627, 9193917, 10477683.0, 9466902, 10009529.0, 10009356.0, 9471866.0, 9566549.0, 9843759.0, 9401510.0, 10185284, 9267816, 10038574, 9002709.0, 10045653, 9718168.0, 9927841, 10253543, 9038130, 9739284, 9564811, 9047148, 10066042.0, 10249079.0, 9362322.0, 9466899.0, 10334617, 10107843.0, 9486203.0, 10066319.0, 9466881.0, 9466883.0, 9212316, 9047056.0, 10145491.0, 9207841.0, 9950552, 9325006, 10340276.0, 9280503, 9990716, 10242299, 10485640, 9756587.0, 9247479.0, 10253768.0, 9273347.0, 10477891, 9275357.0, 9275359.0, 10249036.0, 10242052]
produzione	[10382575.0, 10421135.0, 9177267.0, 9900060.0, 10421134.0, 9671056.0, 9939963.0, 10032379.0, 10467467, 9838179.0, 10467471, 9327782, 9604335, 9887639.0, 10199102.0, 10285949, 9352861, 9069124, 9385405, 9479333.0, 10386551.0, 10199103.0, 10399176, 10333247.0, 10405430.0, 10286421, 9714405.0, 10199131.0, 9175837, 9526607.0, 9001564.0, 9813235, 10220226, 9545342.0, 9788265, 10449617.0, 10199151, 10286599.0, 9856389, 9714016, 9008437.0, 10181816, 9352476.0, 9787898, 10149735, 10149739, 9679087.0, 9928367, 9195662.0, 9604589, 9008436.0, 9548340.0, 9081992.0, 9377148, 9740787.0, 10427455.0, 9856193.0, 9603002, 9249289, 9667996, 9787870, 10415212, 9096461, 10182182, 9994321.0, 9341316.0, 9878240.0, 9081991.0, 9714406.0, 10165946.0, 10049157.0, 10150248, 9787947, 9653420.0, 10427779.0, 10429873.0, 9249322, 10483322, 9176008, 10051480.0, 9689762]
graduale	[10098404.0]
