LEMMA	POS	SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		POLYSEMY	ENOUGH_CONTEXT_SENTENCES?
testimonianza	NOM	9925268	Ma di tutte le donne che hanno attraversato la sua vita resterà qualcosa, una traccia, una testimonianza.	Aber von all diesen Frauen in seinem Leben wird etwas die Zeit überdauern. Ein Symbol der Erinnerung.		9831791	Da quel momento lei potrebbe essere posto sotto processo per falsa testimonianza.	Sie bleiben weiterhin als Zeuge vorgeladen. Die Sitzung ist vertagt!		9672170	Ora rischi di andare in prigione per falsa testimonianza.	Jetzt riskierst du Gefängnisstrafe.			X
profilo	NOM	1461855	Scopri chi visita il tuo profilo.	Finde heraus, wer dein Profil besucht.			N/A	N/A			N/A	N/A			
ventilato	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
follia	NOM	3343630	Mio fratello mi ha spinto quasi alla follia.	Mein Bruder trieb mich fast in den Wahnsinn.		10313315	È una follia. Chi potrebbe mandare una sonda per parlare con una balena?	Wer schickt eine Sonde, um mit Walen zu reden?		9829641	Sicuro che non posso convincerla a evitare questa follia?	Kann ich Ihnen diesen Wahnsinn nicht ausreden?			X
scultura	NOM	9554489	Una scultura scolpita secoli fa da un lussurioso italiano.	Die jahrhundertealte Skulptur eines sexbesessenen Italieners.		9641361	La scultura arriverà al museo circa alle 2 del pomeriggio.	Die Skulptur kommt ungefähr um 14 Uhr im Museum an.		9644730	Era una scultura di me nuda. Era stata scolpita da un amico del Sig. Yamana.	Für diese Statue hatte ich einem Freund von Herrn Yamana Modell gestanden.			X
risalire	VER	9799347	Abbiamo alcuni reperti che riteniamo risalire al periodo fra il 1950 e il 2000.	Hier sind verschiedene Artefakte, die aus der Zeit zwischen 1950 und 2000 stammen.		9570099	Posso iniziare dal basso e risalire?	Kann ich unten anfangen und mich hocharbeiten?		9747785	Come può una canoa risalire il fiume?	Erklär mir, wie ein Kanu flussaufwärts kommt.		risalire le tubature risalire all’epoca X	X
efficacia	NOM	10299322	La luce del giorno non va bene. Il veleno si indebolisce. Perde la sua efficacia.	Bei Tageslicht zersetzt es sich und verliert seine Bösartigkeit.			N/A	N/A			N/A	N/A			
collezione	NOM	3897610	Se un giorno deciderai di vendere la tua collezione di dischi vecchi, voglio avere la priorità.	Falls du dich einmal entscheiden solltest, deine Sammlung alter Platten zu verkaufen, möchte ich das Erstzugriffsrecht haben.		1827034	Marco possiede una preziosa collezione di francobolli.	Marco besitzt eine wertvolle Briefmarkensammlung.		621740	Questo museo dispone di un'affascinante collezione di oggetti celtici.	Dieses Museum stellt eine faszinierende Sammlung keltischer Gegenstände aus.			X
generale	NOM	2687418	In generale, la storia si ripete.	Im Allgemeinen wiederholt sich die Geschichte.		9912092	Ma aggiungerò che un uomo è, in generale, ciò che intende essere.	Aber ein Mann ist normalerweise das, was er innerlich fühlt.		9261098	Era felice e ottimista nei confronti della vita in generale.	Sie war gut gelaunt und wurde optimistischer.		in generale	X
negativo	ADJ	2427548	Quello che fa la differenza, tra un pensiero negativo ed uno positivo è quello su cui ci focalizziamo. Se pensiamo a delle cose belle, o le nostre possibilità di realizzare qualcosa di buono, quindi ci concentriamo i nostri pensieri su qualcosa di buono, di utile, di positivo. Quello che fa la differenza, tra un pensiero negativo ed uno positivo è quello su cui ci focalizziamo. Se pensiamo a delle cose belle, o le nostre possibilità di realizzare qualcosa di buono, quindi concentriamo i nostri pensieri su qualcosa di buono, di utile, di positivo. Più ci focalizziamo sui pensieri positivi, più generiamo cose belle intorno a noi.	Was den Unterschied zwischen positivem und einem negativem Denken ausmacht, ist das, worauf wir uns konzentrieren. Wenn wir an schöne Dinge denken, oder an unsere Chancen, Gutes zu erreichen, dann konzentrieren wir unsere Gedanken auf Gutes, Nützliches und Positives. Je mehr wir uns auf positive Gedanken konzentrieren, desto mehr schaffen wir schöne Dinge um uns herum.		9588504	Positivo o negativo, dovrai dirgli ciò che pensi.	Du musst ihnen sagen, was du denkst. Egal, was es nun ist.		9131858	Ho sentito questo signore fare un commento negativo su Vichy.	Ich hörte, dass sich dieser Herr abfällig über Vichy äußerte.			X
evento	NOM	1964322	Questa storia è basata su eventi reali.	Diese Geschichte beruht auf wahren Begebenheiten.		897248	Un miracolo è un evento descritto da coloro a cui è stato detto da persone che non l'hanno visto.	Ein Wunder ist ein Ereignis, das von Leuten beschrieben wird, denen es erzählt wurde von Leuten, die es nicht gesehen haben.		2903233	Quali sono stati gli eventi principali dell'anno scorso?	Was sind die wichtigsten Ereignisse des vergangenen Jahres gewesen?			X
quotidianamente	ADV	4434530	Lui si rade quotidianamente.	Er rasiert sich täglich.		9771465	Il signor Kainz dichiara che le lettere scrittegli dal Re quasi quotidianamente durante il breve periodo della loro amicizia, gli sono state tutte rubate.	Herr Kainz erklärt: All die Briefe, die ihm Seine Majestät, der König, beinahe täglich während ihrer kurzen Freundschaft schrieb, seien ihm gestohlen worden.			N/A	N/A			
dignitosamente	ADV	9840819	Chiedigli dignitosamente di avere pietà.	Sie bitten sie würdig um Gnade.			N/A	N/A			N/A	N/A			
dettaglio	NOM	9641917	Lo ha interrogato per ore da ore e non ha scoperto niente. Neanche il minimo dettaglio.	Sie haben ihn stundenlang befragt, ohne Ergebnis, nicht die geringste Einzelheit.		9867627	Ci ho riflettuto a lungo e ho studiato ogni minimo dettaglio.	Ich habe mir viele Gedanken gemacht und ihn detailliert ausgearbeitet.		9451096	Ma io le sono molto grata di aver omesso quel piccolo dettaglio nella sua storia.	Aber ich bin Ihnen auch sehr dankbar, dass Sie ein kleines Detail aus Ihrer Geschichte wegließen.			X
recente	ADJ	2384663	Suo padre ha perso il lavoro di recente.	Ihr Vater verlor vor Kurzem seine Arbeit.		719474	Di recente hai comprato nuovi vestiti?	Hast du neulich neue Kleider gekauft?		3000700	In tempi recenti abbiamo avuto buone esperienze con le strategie di finanziamento esterna della ricerca.	In der letzten Zeit haben wir gute Erfahrungen mit Strategien zur externen Forschungsfinanzierung gemacht.			X
comportamento	NOM	4892548	Il tuo comportamento arrogante mi irrita.	Dein arrogantes Benehmen ärgert mich.		2771914	Non posso semplicemente ignorare il suo comportamento maleducato.	Ich kann sein unhöfliches Benehmen einfach nicht ignorieren.		1055751	Il mio comportamento era molto strano.	Mein Verhalten war sehr merkwürdig.			X
affascinante	ADJ	621740	Questo museo dispone di un'affascinante collezione di oggetti celtici.	Dieses Museum stellt eine faszinierende Sammlung keltischer Gegenstände aus.		2998378	Per me è affascinante confrontare norvegese e faroese.	Es ist für mich faszinierend, Norwegisch und Färöisch zu vergleichen.		1905383	Queste parole affascinanti mi sono rimaste impresse nella mente.	Diese faszinierenden Worte haben sich in meinem Gedächtnis eingraviert.			X
ricercatore	NOM	1846947	Nel corso del progetto il ricercatore svilupperà tecniche di analisi.	Während der Laufzeit des Projekts wird der Forscher Analysetechniken entwickeln.		1846945	Probabilmente ogni ricercatore svilupperà la sua teoria per spiegare questo fenomeno.	Wahrscheinlich wird jeder Forscher seine eigene Theorie zur Erklärung dieses Phänomens entwickeln.		2437684	L'amore è come una malattia mentale, molto simile alla psicosi e altrettanto pericolosa, dicono i ricercatori.	Die Liebe ist wie eine psychische Erkrankung, sehr ähnlich den Psychosen und ebenso gefährlich, so sagen die Wissenschaftler.			X
visitatore	NOM	350408	Londra è una città così grande che i visitatori devono usare bus e metropolitana per muoversi.	London ist eine so große Stadt, dass Besucher, wenn sie von einem Ort zum anderen wollen, den Bus oder die U-Bahn benutzen müssen.		10057878	Se venisse un visitatore da un altro mondo, cosa penserebbe del modo in cui custodiamo il pianeta Terra?	Käme ein Besucher von einer anderen Welt, was hätten wir über unsere Sorge für die Erde zu berichten?		10058016	Immaginate di essere un visitatore da un pianeta diverso ed alieno.	Nun stellen Sie sich vor, Sie seien Besucher von einem völlig anderen Planeten.			X
vitamina	NOM	4984421	Io prendo delle vitamine ogni giorno.	Ich nehme jeden Tag Vitamine ein.		9763000	Prendi quelle con la vitamina C. Sono meglio per lo stomaco.	Howard, nimm das mit dem Zusatz, das ist besser für den Magen.		10126451	E, soprattutto, prendi due compresse di vitamina C ogni ora con latte.	Und nimm stündlich 1.000 Einheiten Vitamin C, aber nur mit Milch.			X
vaccino	NOM	7192424	C'è un vaccino contro il colera?	Gibt es einen Impfstoff gegen Cholera?		9956294	Stanno lavorando su un antidoto o un vaccino.	Sie werden in eine Klinik nach Paris gebracht.		10160769	Se vede Flap, gli dica che sua moglie e sua figlia sono andate a fare il vaccino antinfluenzale.	Sagen Sie Flap, dass seine Frau und sein Baby zur Grippeimpfung sind, OK?			X
corsa	NOM	2596590	Soltanto quattro cavalli parteciparono alla corsa.	Es nahmen nur vier Pferde am Rennen teil.		1570092	È stata squalificata dalla corsa per due false partenze.	Sie wurde vom Rennen ausgeschlossen wegen zweier Fehlstarts.		2383461	Ho anche una vera e propria bici da corsa.	Ich habe auch ein richtiges Rennrad.			X
titolo	NOM	2364212	Ieri ho sentito una bella canzone ma non mi ricordo il titolo.	Gestern habe ich ein schönes Lied gehört, doch ich erinnere mich nicht an den Titel.		6173071	Tom sta scrivendo un libro, ma non ha ancora un titolo.	Tom schreibt ein Buch, das aber noch keinen Titel hat.		3264402	Qual è il titolo del libro che stai leggendo?	Wie lautet der Titel des Buches, das du gerade liest?			X
ripresa	NOM	10053844	A un certo punto del film, nel bel mezzo di una ripresa, il ragazzo si è messo a correre e ha fatto circa 500 metri.	In einer szene, in etwa in der mitte des films, rannte er einfach über das feld. Er rannte etwa 500 meter.		9385415	Avevo chiesto alla troupe di realizzare la ripresa di un interno, poi dissi:	Du armes Baby.		9448427	Pensaci, Sam. La musica di Puccini su una ripresa del Fujiyama, su quei templi stupendi, su un volto come questo.	Aber stell dir vor, Sam, stell dir vor, Puccinis Musik zu einer Aufnahme des Fujiyama zu hören, zu diesen wundervollen Schreinen, zu einem Gesicht wie diesem.		ripresa video	X
realmente	ADV	9186099	Stasera, quando ho scoperto chi è Charlotte realmente, ho creduto mi scoppiasse il cervello.	Als ich herausfand, wie Charlotte wirklich ist, wollte mir fast der Kopf zerspringen.		10221191	Questo film si basa su fatti realmente vissuti da Christopher Boyce e Andrew Daulton Lee.	Dieser Film beruht auf wahren Begebenheiten im Leben von Christopher Boyce und Andrew Daulton Lee.		9192987	Volevo scoprire cosa gli fosse accaduto realmente, quale fosse la verità sulla sua morte.	Ich wollte herausfinden, was ihm in Wahrheit zugestoßen war. Wie starb er wirklich, und auf welchem Feld der Ehre ereilte ihn sein Schicksal?			X
effetto	NOM	4874141	In che modo il pittore ottiene questo effetto?	Wie erreicht der Maler diese Wirkung?		3418770	Non ci crederà, ma anche a me fanno lo stesso effetto!	Sie werden es nicht glauben, aber auch auf mich haben sie die gleiche Wirkung!		1904609	Il mio metodo è sorprendentemente semplice, ma l'effetto è grande.	Meine Methode ist verblüffend einfach, aber sie erzielt eine große Wirkung.			X
celebre	ADJ	10060789	La celebre biblioteca alessandrina in Egitto conteneva quasi un milione di papiri.	Die sagenhafte Bibliothek von Alexandria in Ägypten enthielt fast 1 Mio. Papyrusrollen.		9256603	Renoir é celebre per I ritratti di bambini, ma questa é una delle sue opere migliori.	Renoir ist bekannt für Kinderporträts und dies ist eines der besten.		9116839	Tratto dal celebre romanzo di Ernest Hemingway	Nach dem berühmten Roman von Ernest Hemingway			X
stancare	VER	1766141	Non mi stancherò mai di insistere su questo punto.	Ich werde nicht müde werden, auf diesem Punkt zu beharren.		9385861	Lo farò stancare così tanto che non si sveglierà più.	Ich mache ihn so müde, dass er nicht mehr aufwacht.		9948702	Abbi cura di te, tesoro, non devi stancarti, lo sai.	Gut, also pass auf dich auf und übertreib es nicht!			X
esporre	VER	900413	Hanno esposto i libri al sole.	Sie setzten die Bücher der Sonne aus.		10398286	Non sono un articolo da esporre in vetrina.	Ich bin doch kein Zirkuspferd.			N/A	N/A		esporre al sole	
fauna	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
asciugacapelli	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
riconoscere	VER	3116608	Tom ha perso così tanto peso che uno dei suoi amici ha tirato dritto davanti a lui in strada, senza riconoscerlo.	Tom hat so viel abgenommen, dass ein Freund von ihm auf der Straße glatt an ihm vorbeiging, ohne ihn zu erkennen.		1574453	Tom riconobbe il vecchio uomo, però non conosceva il suo nome.	Tom erkannte den alten Mann, aber er kannte seinen Namen nicht.		1699893	Riconoscete l'uomo in questa fotografia?	Erkennt ihr den Mann auf diesem Foto?			X
evoluzione	NOM	10056808	Riguardiamo il filo che comprime 4 miliardi di anni di evoluzione umana in 40 secondi.	Wir wollen das noch mal betrachten und 4 Mrd. Jahre menschlicher Evolution in 40 Sekunden kondensieren.		10392526	La migliore evoluzione della specie.	Die höchst entwickelte Art:		9549973	Il risultato di 500 milioni di anni di evoluzione.	Das Endprodukt von 500 Millionen Jahren Evolution.			X
seguito	NOM	2121642	È diventato sordo in seguito a un infortunio.	Er ist infolge eines Unfalls taub geworden.		749452	L’errore si è manifestato subito all’inizio o solo in seguito? - Quando?	Äußerte sich der Fehler bereits von Anfang an, oder erst später? - Wann?		9976275	Quella fu la prima volta che mia mamma abbracciò suo cugino e non so se in seguito sia mai più riuscita ad abbracciarlo con così onesto trasporto.	Da hielt meine arme Mama ihren Vetter Jan zum ersten Mal. Ich wei? nicht, ob sie ihn spater jemals glucklicher gehalten hat.		in seguito 	X
seguito	ADJ	9293426	..è terzo, seguito da Comfort King. My Baby conduce per una lunghezza.	My Baby liegt mit einer Länge vorn.		9728773	Il primo sintomo è il soffocamento, seguito da immediata perdita dei sensi.	Das erste Symptom scheint Ersticken zu sein, gefolgt von sofortiger Bewusstlosigkeit.		10059664	Si può scrivere il numero 1 000 il che significa un uno seguito da tre zeri.	Man kann die Zahl 1 .000 schreiben als 1 0 hoch 3. Das ist eine 1 mit 3 Nullen.			X
rilevare	VER	10103077	Stiamo mettendo sensori per rilevare ogni tipo di movimento.	Wir bauen die Ausrüstung auf, um jegliche Bewegung zu verzeichnen.		10438787	Osservare il soggetto e rilevare comportamenti insoliti.	Auf ungewöhnliches Verhalten achten.		10373748	I sensori continuano a non rilevare niente?	Sensoren zeigten kein intelligentes Leben?			X
turno	NOM	2213750	Era il mio turno di pulire la stanza.	Ich war dran, das Zimmer zu säubern.		9420162	Ognuno di noi farà un turno di guardia di due ore.	Jeder von uns wird zwei Stunden Wache halten.		9870639	Si sieda, sig. Cheswick, e aspetti il suo turno.	Sie setzen sich und warten, bis Sie dran sind.			X
duro	ADJ	874313	Lei lavora duro come ogni altro studente.	Sie arbeitet so hart wie jeder andere Student.		1312501	Il tuo successo è il frutto del tuo duro lavoro.	Dein Erfolg ist die Frucht deiner harten Arbeit.		4476394	Questo pane è duro come una roccia.	Dieses Brot ist so hart wie Stein.			X
comunità	NOM	1349822	Negli anni Cinquanta la Comunità europea del carbone e dell’acciaio comincia ad unire i paesi europei sul piano economico e politico al fine di garantire una pace duratura.	Ab 1950 begann die Europäische Gemeinschaft für Kohle und Stahl, die Länder Europas wirtschaftlich und politisch zu vereinen, um einen dauerhaften Frieden zu gewährleisten.		4422176	I parlanti dell'esperanto non formano una comunità che vive in un territorio contiguo. Essi vivono sparsi in tutto il mondo.	Die Sprecher des Esperanto bilden keine Gemeinschaft, die auf einem zusammenhängenden Territorium lebt. Sie leben verstreut über den gesamten Erdball.		9878142	La gente della comunità ha scelto di darmi questo nome.	So nennt man mich in der Kommune.			X
personaggio	NOM	10313007	Era molto simile al suo personaggio nella vita reale.	Im wirklichen Leben war er dem sehr ähnlich.		10054025	Il personaggio evolve nel corso del film.	Seine filmfigur kam dazu. Das ist großartig.		10386456	Che personaggio del tuo romanzo ho ispirato?	Welche Figur habe ich inspiriert?			X
sposato	ADJ	2421198	Mi sono innamorata di un uomo sposato.	Ich habe mich in einen verheirateten Mann verliebt.		702297	Le persone sposate talvolta desidererebbero essere single.	Manchmal wünschen sich Verheiratete, sie wären Alleinstehende.		9788302	Arrivano i ragazzi! Nostro figlio è sposato e noi non conosciamo sua moglie!	Wissen Sie, Monsieur, unser Sohn hat gerade geheiratet und wir kennen noch nicht einmal seine Frau.			X
re	NOM	1964028	È possible che Re Alberto abbia una relazione segreta con la Principessa Diana? Io non credo. Lui è troppo grasso.	Kann es sein, dass König Albert ein geheimes Verhältnis mit Prinzessin Diana hat? Ich glaube nicht. Er ist zu dick.		3027041	I Re Magi donarono a Gesù Bambino oro, mirra e incenso.	Die Heiligen Drei Könige schenkten dem Jesuskind Gold, Myrrhe und Weihrauch.		1117127	In un vecchio castello viveva un re.	In einem alten Schloss lebte ein König.			X
severamente	ADV	9011606	La prima che si renderà colpevole di un tale fatto sarà severamente punita.	Die Erste, die sich dieses Vorgehens schuldig macht, wird strengstens bestraft werden.		10344751	Chiunque venga sorpreso a parlare, sarà punito severamente.	Wer beim Reden erwischt wird, wird hart bestraft.		9803434	Trovateli subito! E puniteli severamente!	Sofort auffinden, zurückbringen, scharf rügen!			X
rimborso	NOM	10350474	Non voglio un rimborso, voglio un posto in prima classe dove ho prenotato un mese fa.	Ich will keine Rückerstattung, ich will erste Klasse fliegen, was ich vor einem Monat buchte.		10247828	Non posso pagarti un salario, nemmeno il rimborso spese.	Ich kann kein Gehalt zahlen, noch nicht einmal Spesen.		10227278	Non ho mai visto un assegno di rimborso finora.	Ich habe noch nie einen Rückzahlungsscheck gesehen.			X
allegato	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
editoriale	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
fritto	ADJ	1693145	Le patatine fritte sono un veleno per il nostro organismo.	Die Pommes frites sind ein Gift für unseren Körper.		9006939	Me lo farebbe cucinare fritto?	Würden Sie ihn für mich braten lassen?		10050198	Puzzo di fritto dappertutto!	Ich stinke überall nach fett Ich muss weg hier.			X
attrezzo	NOM	2383804	La bicicletta è un attrezzo sportivo davvero unico.	Das Fahrrad ist ein wirklich einzigartiges Sportgerät.		10097646	Non so se è possibile costruire un attrezzo in grado di tagliarla.	Ich weiß nicht, ob ich ein geeignetes Gerät bauen kann.			N/A	N/A			
ladro	NOM	2685546	Il ladro è corso via quando ha visto un poliziotto.	Der Dieb rannte weg, als er einen Polizisten sah.		350304	Il ladro prese la borsa dalla sua mano.	Der Dieb riss ihm die Tasche aus der Hand.		1331175	Noi abbiamo catturato il ladro.	Wir haben den Dieb gefasst.			X
festeggiato	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
faticare	VER		N/A	N/A			N/A	N/A			N/A	N/A			
ipotizzare	VER	10061601	Ipparco fu il primo ad ipotizzare che le stelle nascano si muovano lentamente nel corso di secoli e finalmente muoiano.	Hipparchus vermutete, dass Sterne entstehen dass sie sich jahrhundertelang gemächlich bewegen um schließlich wieder zu verlöschen.		10059332	Possiamo ipotizzare cosa succede se ci si avvicina a quella velocità che qui è di 40 km orari, la velocità di un motociclo.	Stellen wir uns also vor, wir nähern uns der Lichtgeschwindigkeit auf einem Motorroller mit fast 40 km/h.			N/A	N/A			
riferimento	NOM	10365159	Se un giorno il sole non sorgesse a oriente e tu non avessi alcun punto di riferimento?	Was, wenn die Sonne mal nicht im Osten aufgeht und dein Kompass kaputt ist?		10212324	Lasciatemi spiegare. Fino ad oggi non avevamo un rappresentante,.. ..una persona di riferimento.	Erlauben Sie, dass ich dazu erläutere, dass uns zum einen eine Anlaufstelle, das heißt, eine legitimierte Person gefehlt hat, zum anderen darfich daran erinnern, dass das auch nicht als Notwendigkeit gegeben erschien, weil dieses Gebiet hier juristisch gesehen keinen Status eines Reservats hat.		9965713	Oh, capisco adesso il riferimento alle banane, vuoi dire che somiglia a una scimmia.	Oh, jetzt verstehe ich den Hinweis auf die Bananen, du meinst, du denkst er sieht wie ein Affe aus.			X
provocare	VER	2328756	Un cambiamento sintattico provoca un cambiamento di significato.	Eine Veränderung der Syntax bewirkt eine Änderung der Bedeutung.		9077664	Non usi la forza, a meno che non voglia provocare molti guai.	Versuchen Sie keine Tricks und Sie ersparen sich eine Menge Ärger.		9488412	Non stiamo cercando di provocare una guerra.	Es ist keine Provokation.		causare	X
gestire	VER	1910190	Anche i documenti della Chiesa erano gestiti dai notai ed erano considerati come documenti pubblici.	Auch die kirchlichen Dokumente wurden von den Notaren verwaltet und wurden als öffentliche Dokumente angesehen.		3425603	Insieme ai miei fratelli gestisco un ristorante nel centro storico della città.	Zusammen mit meinen Brüdern führe ich ein Restaurant im Zentrum der Altstadt.		1539321	Se non fosse per il tuo aiuto, non potrei gestire questo negozio.	Ohne deine Hilfe könnte ich dieses Geschäft nicht führen.			X
latte	NOM	5459958	Bevo il caffè con latte e senza zucchero.	Ich trinke den Kaffee mit Milch und ohne Zucker.		3462874	Mi serve un po' di latte per i miei cereali.	Ich brauche ein wenig Milch für meine Cornflakes.		1791881	Hai inviato del latte dalla tua fattoria.	Du sandtest Milch von deinem Landgut.			X
saporito	ADJ	9753446	Buono, molto saporito.	Lecker, sehr lecker.		9677162	Non male come antipasto, ma ora preferirei qualcosa di più saporito.	Nicht schlecht für den Anfang, aber nun etwas Herzhafteres.		10285308	La piccola zuccherina di papà ha gradito il suo dolcetto saporito?	Hat Papas kleinem Liebling ihr Leckerbissen geschmeckt?			X
peso	NOM	3116608	Tom ha perso così tanto peso che uno dei suoi amici ha tirato dritto davanti a lui in strada, senza riconoscerlo.	Tom hat so viel abgenommen, dass ein Freund von ihm auf der Straße glatt an ihm vorbeiging, ohne ihn zu erkennen.		2449761	Duecentocinquanta chilogrammi è un peso straordinario anche per un lottatore di sumo.	Zweihundertfünfzig Kilogramm sind sogar für einen Sumoringer ein außergewöhnliches Gewicht.		946807	Il ghiaccio sul lago è troppo sottile per sopportare il tuo peso.	Das Eis auf dem See ist zu dünn um dein Gewicht zu tragen.			X
ringraziare	VER	1402851	Ringrazio di cuore tutti quanti per la bellissima sorpresa di sabato sera!	Ich danke allen von Herzen für die wunderschöne Überraschung am Samstagabend.		1005871	Devo ringraziare i miei genitori se sono in così buona salute.	Ich verdanke es meinen Eltern, dass ich so gesund bin.		5571385	Non dimenticare di ringraziare Tom per il regalo.	Vergiss nicht, dich bei Tom für das Geschenk zu bedanken!			X
incredibile	ADJ	2516175	È incredibile come alcune persone non si lavino.	Es ist unglaublich, wie gewisse Leute sich nicht waschen.		10080751	E sì, è incredibile, tanto da non sembrare vero, la nostra Odile lascia Grenoble per qualche giorno.	Unglaublich aber wahr, Odile Jouve verlässt Grenoble einige Tage. Grüßen Sie Mathilde.		10253559	Mi raccontò qualcosa di incredibile ma in qualche modo credetti quasi a tutto.	Er erzählte mir etwas Unglaubliches. Und doch glaubte ich das meiste davon.			X
manifesto	NOM	10087197	Togliete ogni manifesto, tutti gli striscioni. Tutte le decorazioni, e toglietevi di mezzo.	Reißt jedes Plakat und Transparent, jede Dekoration runter, weg damit.		9135114	Vedrete il mio nome su quel manifesto a lettere cubitali!	Mein Name wird auf dem Plakat stehen. So groß!		9206173	E non hai notato strane scritte sul manifesto?	War nicht von Hand etwas auf das Plakat geschrieben?			X
usanza	NOM	2197529	È un'usanza stupida per un non-cristiano, quella di spedire della cioccolata il giorno di san Valentino.	Es ist ein unsinniger Brauch für Nicht-Christen, zum Valentinstag Schokolade zu verschicken.		9289691	Una splendida usanza greca, ma ospite?	Eine schöne Sitte. Aber Gast?		9829819	Sono un soldato e il mio nome è Vardan. La nostra usanza è che quando il re muore e non lascia figli, ci mettiamo sulla porta ad aspettare il primo uomo che arriva,	Stirbt ein König ohne Nachkommen, so will der Brauch, dass wir vor die Tore der Stadt gehen.			X
viso	NOM	10170486	# Pensavo di conoscere ogni singola occhiata # # ed espressione dolce del suo viso, # # ma questa non la riconosco # # sebbene abbia vissuto e studiato con lui per ore. #	* Ich dachte, ich würde jeden Blick * Und jeden süßen Ausdruck auf seinem Gesicht kennen * Aber diesen kenne ich nicht		9716325	Un viso rotondo, la bocca severa, delle sopracciglia ben disegnate e qualcosa di singolare negli occhi.	Rundes Gesicht, strenger Mund, feine Augenbrauen, wilder Blick.		9700138	Un enorme cappello giallo che mi copriva tutto il viso.	Es war ein riesiger gelber Hut, der mein ganzes Gesicht bedeckte.			X
tecnologia	NOM	707735	Avanzamenti in scienza e tecnologia e altre aree della società negli ultimi 100 anni hanno portato alla qualità di vita sia vantaggi che svantaggi.	Fortschritte in Wissenschaft, Technik und anderen Bereichen der Gesellschaft in den letzten 100 Jahren haben der Lebensqualität sowohl Vorteile als auch Nachteile eingebracht.		3202878	Non capisce la tecnologia moderna.	Er versteht die moderne Technologie nicht.		3410107	Vorrei sapere di più sulla tecnologia che è stata utilizzata nella costruzione delle piramidi egizie.	Ich möchte mehr über die beim Bau der ägyptischen Pyramiden verwendete Technologie erfahren.			X
racconto	NOM	3020705	I racconti venivano principalmente pubblicati sui giornali.	Die Erzählungen wurden hauptsächlich in Zeitschriften veröffentlicht.		3233446	Sebbene i primi racconti di Tom siano stati ampiamente stroncati dalla critica, meritano uno sguardo più attento.	Wenngleich Toms frühe Kurzgeschichten von der Kritik vielfach verrissen wurden, lohnt sich doch ein genauerer Blick.		1196995	Il suo libro comincia con un racconto sulla vita in campagna.	Sein Buch beginnt mit einer Geschichte über das Landleben.			X
spedizione	NOM	9657390	dovremmo organizzare una spedizione con equipaggio sul nuovo pianeta.	Ein Vorschlag des Vorsitzes, dass wir einen bemannten Flug zum neuen Planet vorbereiten sollten.		9667078	Sì, noi guideremo questa spedizione in Africa.	Ja, wir führen die Expedition nach Afrika.		10061394	Era la più grande spedizione scientifica del secolo che aveva lo scopo di raccogliere dati sulla geografia la storia naturale e i popoli di terre lontane.	Es war die am sorgfältigsten geplante Forschungsreise des Jahrhunderts die in aller Welt Wissenswertes über Geographie über Naturkunde und die Menschen ferner Länder zusammentrug.			X
spaventare	VER	10231051	Non ti spaventare, sono solo effetti speciali.	Mach dir keine Sorgen über die großen Dinger. Das sind Spezialeffekte.		10388103	A che serve un fantasma, se non può spaventare la gente?	Was nutzt es, ein Geist zu sein, den niemand furchtet?		10240110	Non ti spaventare! Io ti proteggerò!	Keine Angst, ich beschütze dich.			X
vulcano	NOM	3461759	L'Etna è un vulcano attivo in Sicilia.	Der Ätna ist ein Vulkan auf Sizilien.		500255	Il vulcano ha eruttato due volte quest'anno.	Der Vulkan ist heuer zweimal ausgebrochen.		9601879	Questo vulcano non è attivo, vero?	Dieser Vulkan ist nicht aktiv, oder?			X
ingrediente	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
metropolitano	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
universitario	ADJ	373528	Sono uno studente universitario.	Ich bin Student.		9350927	Questa lettera me la manda un professore universitario.	Diesen Brief von irgendeinem Professor an der Universität,		9246472	Potresti tenere un corso universitario.	Darüber könntest du Vorträge halten.			X
attendere	VER	1014471	Mi ha fatto attendere molto lì e alla fine non è venuto.	Sie haben mich dort lange warten lassen und sind am Ende nicht gekommen.		350800	Mi dispiace averti fatto attendere a lungo.	Es tut mir leid, dass ich dich lange warten ließ.		2212511	Il professore mi chiese se ero pronto e aggiunse che tutti mi attendevano al portone della scuola.	Der Lehrer fragte mich, ob ich fertig sei, und fügte hinzu, dass alle auf mich am Schultor warteten.			X
salsiccia	NOM	9230300	Uova strapazzate con salsiccia?	Rührei mit Würstchen?			N/A	N/A			N/A	N/A			
ghiacciaio	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
